building_code,open_schools,num_open_schools,top_school_enrolled,total_enrolled,primary_address,city,longitude,latitude,campus_name,room,sbhc_sponsor,schools_served,num_school_served,services_provided
Q415,Benjamin N. Cardozo High School,1,Benjamin N. Cardozo High School,3069,57-00 223rd Street,Bayside,-73.757271,40.752343,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q405,Bayside High School,1,Bayside High School,2998,32-24 CORPORAL KENNEDY STREET,QUEENS,-73.781041,40.771398,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q425,John Bowne High School,1,John Bowne High School,2978,63-25 MAIN STREET,QUEENS,-73.823841,40.737448,NA,NA,NA,NA,NA,Prevention Intervention Program MH
X445,The Bronx High School of Science,1,The Bronx High School of Science,2949,75 WEST 205 STREET,BRONX,-73.889011,40.879958,NA,NA,NA,NA,NA,School-based Mental Health Clinic
R460,Susan E. Wagner High School,1,Susan E. Wagner High School,2927,1200 MANOR ROAD,STATEN ISLAND,-74.130819,40.588985,Susan E. Wagner High School,174,Richmond University Medical Center,Susan E. Wagner High School,1,Prevention Intervention Program MH
Q505,Hillcrest High School,1,Hillcrest High School,2387,160-05 HIGHLAND AVENUE,QUEENS,-73.803001,40.709461,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q480,John Adams High School,1,John Adams High School,2379,101-01 ROCKAWAY BOULEVARD,QUEENS,-73.838616,40.680065,John Adams High School,B17,Northwell LIJ,[D79] John Adams Yabc|[D79] Pathways To Graduation|John Adams High School,3,Community School MH
M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,1,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,2378,100 Amsterdam Avenue,Manhattan,-73.985976,40.774202,NA,NA,NA,NA,NA,NA
Q620,Thomas A. Edison Career and Technical Education High School,1,Thomas A. Edison Career and Technical Education High School,2200,165-65 84 AVENUE,QUEENS,-73.799692,40.716071,NA,NA,NA,NA,NA,NA
K540,John Dewey High School,1,John Dewey High School,2182,50 AVENUE X,BROOKLYN,-73.981925,40.58807,NA,NA,NA,NA,NA,School-based Mental Health Clinic
R450,Curtis High School,1,Curtis High School,2152,105 HAMILTON AVENUE,STATEN ISLAND,-74.082149,40.645436,Curtis High School,116,Children's Aid Society,Curtis High School,1,Prevention Intervention Program MH
K410,Abraham Lincoln High School,1,Abraham Lincoln High School,2098,2800 OCEAN PARKWAY,BROOKLYN,-73.968733,40.582627,Abraham Lincoln High School,B-8,NYU Langone FHC,[D79] Abraham Lincoln Yabc|[D79] Pathways To Graduation|Abraham Lincoln High School,3,Prevention Intervention Program MH
Q061,I.S. 061 Leonardo Da Vinci,1,I.S. 061 Leonardo Da Vinci,2097,98-50 50 AVENUE,QUEENS,-73.862886,40.741898,NA,NA,NA,NA,NA,H+H School
Q610,Aviation Career & Technical Education High School,1,Aviation Career & Technical Education High School,2006,45-30 36 STREET,QUEENS,-73.929577,40.743309000000004,NA,NA,NA,NA,NA,NA
Q445,William Cullen Bryant High School,1,William Cullen Bryant High School,1978,48-10 31 AVENUE,QUEENS,-73.911165,40.757072,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q452,Long Island City High School,1,Long Island City High School,1930,14-30 BROADWAY,QUEENS,-73.933907,40.765881,Long Island City High School,546,NYU Langone FHC,[D79] Coop Tech|[D79] Lyfe|Long Island City High School,3,Community School MH
X455,Bronx Health Sciences High School|Harry S Truman High School|P.S. X176,3,Harry S Truman High School,2845,750 BAYCHESTER AVENUE,BRONX,-73.831669,40.874035,Harry S Truman Campus,142,Morris Heights Health Center,Bronx Health Sciences High School|Harry S Truman High School,2,School-based Health Center w/ Mental Health
M195,KIPP Infinity Charter School|New Design Middle School,2,KIPP Infinity Charter School,1896,625 WEST 133 STREET,MANHATTAN,-73.956814,40.819793,NA,NA,NA,NA,NA,School Response Team
Q073,I.S. 73 - The Frank Sansivieri Intermediate School,1,I.S. 73 - The Frank Sansivieri Intermediate School,1796,70-02 54 AVENUE,QUEENS,-73.893318,40.728558,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q455,International High School for Health Sciences|Newtown High School,2,Newtown High School,2028,48-01 90 STREET,QUEENS,-73.874129,40.740824,Newtown Campus,366,Urban Health Plan,International High School For Health Sciences|Newtown High School,2,School-based Health Center w/ Mental Health
R445,Port Richmond High School,1,Port Richmond High School,1731,85 ST JOSEPHS AVENUE,STATEN ISLAND,-74.141924,40.635562,Port Richmond High School,B-156,Northwell SIUH,[D79] Lyfe|[D79] Restart Academy|P025R @ Port Richmond High School|Port Richmond High School,4,Community School MH
Q137,M.S. 137 America's School of Heroes,1,M.S. 137 America's School of Heroes,1668,109-15 98 STREET,QUEENS,-73.839377,40.678112,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q019,P.S. 019 Marino Jeantet,1,P.S. 019 Marino Jeantet,1656,44-10 99 Street,Queens,-73.866557,40.7486,NA,NA,NA,NA,NA,NA
M435,Isaac Newton Middle School for Math & Science|Manhattan Center for Science and Mathematics,2,Manhattan Center for Science and Mathematics,1964,260 PLEASANT AVENUE,MANHATTAN,-73.932868,40.794184,Manhattan Center Campus,B16,Mount Sinai - Adolescent Health Center,Isaac Newton Middle School For Math & Science|Manhattan Center For Science And Mathematics,2,School-based Health Center w/ Mental Health
Q475,Richmond Hill High School,1,Richmond Hill High School,1639,89-30 114 Street,Queens,-73.833815,40.695171,NA,NA,NA,NA,NA,Community School MH
M022,"New Explorations into Science, Technology and Math High School",1,"New Explorations into Science, Technology and Math High School",1628,111 COLUMBIA STREET,MANHATTAN,-73.979581,40.719416,NA,NA,NA,NA,NA,NA
M600,The High School of Fashion Industries,1,The High School of Fashion Industries,1606,225 WEST 24 STREET,MANHATTAN,-73.996354,40.745677,High School of Fashion Industries,343,Institute for Family Health,The High School Of Fashion Industries,1,School-based Health Center w/ Mental Health
K259,J.H.S. 259 William McKinley,1,J.H.S. 259 William McKinley,1598,7305 Ft Hamilton Parkway,Brooklyn,-74.014633,40.626089,NA,NA,NA,NA,NA,NA
M475,High School for Health Professions and Human Services|Institute for Collaborative Education|P.S. M226,3,High School for Health Professions and Human Services,2348,345 East 15th Street,Manhattan,-73.98259,40.732665,NA,NA,NA,NA,NA,NA
X083,P.S. 083 Donald Hertz,1,P.S. 083 Donald Hertz,1560,950 RHINELANDER AVENUE,BRONX,-73.858769,40.849176,NA,NA,NA,NA,NA,School-based Mental Health Clinic
K201,The Madeleine Brennan School,1,The Madeleine Brennan School,1557,8010 12 AVENUE,BROOKLYN,-74.013749,40.619043,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K228,I.S. 228 David A. Boody,1,I.S. 228 David A. Boody,1556,228 AVENUE S,BROOKLYN,-73.976801,40.60066,NA,NA,NA,NA,NA,NA
M149,Success Academy Charter School - Harlem 1,1,Success Academy Charter School - Harlem 1,1551,34 West 118 Street,Manhattan,-73.9467,40.8025,NA,NA,NA,NA,NA,School-based Mental Health Clinic
Q157,J.H.S. 157 Stephen A. Halsey,1,J.H.S. 157 Stephen A. Halsey,1550,63-55 102 Street,Queens,-73.852879,40.732348,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q227,I.S. 227 Louis Armstrong,1,I.S. 227 Louis Armstrong,1529,32-02 JUNCTION BOULEVARD,QUEENS,-73.874614,40.757567,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q145,I.S. 145 Joseph Pulitzer,1,I.S. 145 Joseph Pulitzer,1516,33-34 80 STREET,QUEENS,-73.887523,40.754389,[Closed] IS 145,NA,H+H Gotham,NA,NA,Prevention Intervention Program MH
K206,P.S. 206 Joseph F Lamb,1,P.S. 206 Joseph F Lamb,1511,2200 GRAVESEND NECK ROAD,BROOKLYN,-73.948453,40.596876,NA,NA,NA,NA,NA,School-based Mental Health Clinic
K043,I.S. 98 Bay Academy,1,I.S. 98 Bay Academy,1488,1401 EMMONS AVENUE,BROOKLYN,-73.954047,40.583893,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q485,Grover Cleveland High School,1,Grover Cleveland High School,1480,21-27 HIMROD STREET,QUEENS,-73.909202,40.711881,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q210,J.H.S. 210 Elizabeth Blackwell,1,J.H.S. 210 Elizabeth Blackwell,1478,93-11 101 AVENUE,QUEENS,-73.847633,40.68476,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q216,J.H.S. 216 George J. Ryan,1,J.H.S. 216 George J. Ryan,1477,64-20 175 Street,Queens,-73.794501,40.737188,NA,NA,NA,NA,NA,School Mental Health Specialist Program
R880,The Michael J. Petrides School,1,The Michael J. Petrides School,1471,715 OCEAN TERRACE,STATEN ISLAND,-74.105883,40.607637,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q125,I.S. 125 Thom J. McCann Woodside,1,I.S. 125 Thom J. McCann Woodside,1468,46-02 47 AVENUE,QUEENS,-73.918762,40.740452,NA,NA,NA,NA,NA,Prevention Intervention Program MH
R072,I.S. 072 Rocco Laurie,1,I.S. 072 Rocco Laurie,1466,33 FERNDALE AVENUE,STATEN ISLAND,-74.158618,40.592132,NA,NA,NA,NA,NA,School Mental Health Specialist Program
M488,Art and Design High School|P.S. 059 Beekman Hill International,2,Art and Design High School,1976,231-249 East 56 Street,Manhattan,-73.967204,40.759248,NA,NA,NA,NA,NA,Prevention Intervention Program MH
M912,Beacon High School,1,Beacon High School,1456,522 WEST 44TH STREET,NEW YORK,-73.996262,40.760858,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q460,Flushing High School|Queens High School for Language Studies|Veritas Academy,3,Flushing High School,2517,35-01 UNION STREET,QUEENS,-73.826811,40.764892,NA,NA,NA,NA,NA,"Community School MH, School-based Mental Health Clinic"
R075,I.S. 075 Frank D. Paulo,1,I.S. 075 Frank D. Paulo,1449,455 HUGUENOT AVENUE,STATEN ISLAND,-74.197033,40.544535,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q143,P.S. 143 Louis Armstrong,1,P.S. 143 Louis Armstrong,1448,34-74 113 Street,Queens,-73.855715,40.755393,NA,NA,NA,NA,NA,NA
X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),1,Riverdale / Kingsbridge Academy (Middle School / High School 141),1409,660 West 237 Street,Bronx,-73.914141,40.887407,NA,NA,NA,NA,NA,Prevention Intervention Program MH
K564,Sunset Park High School,1,Sunset Park High School,1405,153 35 Street,Brooklyn,-74.004342,40.655583,Sunset Park High School,105,NYU Langone FHC,Sunset Park High School,1,School-based Health Center w/ Mental Health
Q005,I.S. 5 - The Walter Crowley Intermediate School,1,I.S. 5 - The Walter Crowley Intermediate School,1397,50-40 JACOBUS STREET,QUEENS,-73.888133,40.737405,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q185,J.H.S. 185 Edward Bleeker,1,J.H.S. 185 Edward Bleeker,1394,147-26 25 DRIVE,QUEENS,-73.818607,40.774906,NA,NA,NA,NA,NA,School-based Mental Health Clinic
KBGH,Brooklyn Ascend Charter School,1,Brooklyn Ascend Charter School,1387,205 Rockaway Parkway,BROOKLYN,-73.92044,40.661945,NA,NA,NA,NA,NA,NA
K227,J.H.S. 227 Edward B. Shallow,1,J.H.S. 227 Edward B. Shallow,1378,6500 16 AVENUE,BROOKLYN,-73.995961,40.622102,NA,NA,NA,NA,NA,School Mental Health Specialist Program
R440,Staten Island Technical High School,1,Staten Island Technical High School,1374,485 CLAWSON STREET,STATEN ISLAND,-74.117086,40.568299,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q575,Academy of American Studies,1,Academy of American Studies,1366,40-11 28 Street,Queens,-73.936275,40.752211,NA,NA,NA,NA,NA,NA
K590,Medgar Evers College Preparatory School,1,Medgar Evers College Preparatory School,1355,1186 Carroll Street,Brooklyn,-73.951823,40.66679,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q600,Queens Technical High School,1,Queens Technical High School,1350,37-02 47 AVENUE,QUEENS,-73.927995,40.741658,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q217,J.H.S. 217 Robert A. Van Wyck,1,J.H.S. 217 Robert A. Van Wyck,1347,85-05 144 STREET,QUEENS,-73.811461,40.710384,NA,NA,NA,NA,NA,Prevention Intervention Program MH
K391,Achievement First Crown Heights Charter School|New Heights Middle School,2,Achievement First Crown Heights Charter School,1590,790 EAST NEW YORK AVENUE,BROOKLYN,-73.936313,40.662092,NA,NA,NA,NA,NA,School Response Team
K234,J.H.S. 234 Arthur W. Cunningham,1,J.H.S. 234 Arthur W. Cunningham,1337,1875 EAST 17 STREET,BROOKLYN,-73.955217,40.604447,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q515,Townsend Harris High School,1,Townsend Harris High School,1323,149-11 MELBOURNE AVENUE,QUEENS,-73.821532,40.737038,NA,NA,NA,NA,NA,School Mental Health Specialist Program
X145,New Millennium Bronx Academy of the Arts|New Pathways Academy|South Bronx International Middle School|Success Academy Charter School - Bronx 3,4,Success Academy Charter School - Bronx 3,1818,1000 TELLER AVENUE,BRONX,-73.914067,40.827438,Teller Avenue Campus,145,Montefiore Medical Center,New Millennium Bronx Academy Of The Arts|New Pathways Academy|South Bronx International Middle School|Success Academy Charter School - Bronx 3,4,"Community School MH, School-based Health Center w/ Mental Health"
K453,District 20 Pre-K Center,1,District 20 Pre-K Center,1275,8501 5TH AVENUE,BROOKLYN,-74.025648,40.621704,NA,NA,NA,NA,NA,NA
K485,High School of Telecommunication Arts and Technology,1,High School of Telecommunication Arts and Technology,1273,350 67 STREET,BROOKLYN,-74.023419,40.636721,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K200,P.S. 200 Benson School,1,P.S. 200 Benson School,1272,1940 BENSON AVENUE,BROOKLYN,-74.001915,40.602809,NA,NA,NA,NA,NA,NA
M540,A. Philip Randolph Campus High School,1,A. Philip Randolph Campus High School,1266,443 WEST 135 STREET,MANHATTAN,-73.949929,40.8185,A Phillip Randolph Campus High School,617,Mount Sinai - Adolescent Health Center,A. Philip Randolph Campus High School,1,School-based Health Center w/ Mental Health
R024,I.S. 024 Myra S. Barnes,1,I.S. 024 Myra S. Barnes,1266,750 DURANT AVENUE,STATEN ISLAND,-74.145558,40.54549,NA,NA,NA,NA,NA,School Mental Health Specialist Program
X086,P.S. 086 Kingsbridge Heights,1,P.S. 086 Kingsbridge Heights,1264,2756 RESERVOIR AVENUE,BRONX,-73.897066,40.869061,NA,NA,NA,NA,NA,NA
K303,Coney Island Preparatory Public Charter School|I.S. 303 Herbert S. Eisenberg|Rachel Carson High School for Coastal Studies,3,Coney Island Preparatory Public Charter School,2251,501 WEST AVENUE,BROOKLYN,-73.972009,40.582518,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q089,P.S. 89Q: The Jose Peralta School of Dreamers,1,P.S. 89Q: The Jose Peralta School of Dreamers,1242,85-28 BRITTON AVENUE,QUEENS,-73.879641,40.745963,NA,NA,NA,NA,NA,NA
R051,I.S. 051 Edwin Markham,1,I.S. 051 Edwin Markham,1235,80 WILLOWBROOK ROAD,STATEN ISLAND,-74.145522,40.623077,NA,NA,NA,NA,NA,Prevention Intervention Program MH
K220,J.H.S. 220 John J. Pershing,1,J.H.S. 220 John J. Pershing,1231,4812 9TH AVENUE,BROOKLYN,-74.00125,40.640997,JHS 220 John J Pershing,113/115,NYU Langone FHC,J.H.S. 220 John J. Pershing,1,NA
Q119,P.S./I.S. 119 The Glendale,1,P.S./I.S. 119 The Glendale,1219,74-01 78 AVENUE,QUEENS,-73.875073,40.705187,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K321,P.S. 321 William Penn,1,P.S. 321 William Penn,1217,180 7 AVENUE,BROOKLYN,-73.978633,40.671816,NA,NA,NA,NA,NA,NA
X089,P.S. 089 Bronx,1,P.S. 089 Bronx,1216,980 MACE AVENUE,BRONX,-73.859254,40.862481,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q410,Channel View School for Research|New Visions Charter High School for the Humanities IV|Rockaway Collegiate High School|Rockaway Park High School for Environmental Sustainability,4,Channel View School for Research,1952,100-00 BEACH CHANNEL DRIVE,QUEENS,-73.825317,40.586012,NA,NA,NA,NA,NA,"Community School MH, School-based Mental Health Clinic"
K332,Christopher Avenue Community School|Leadership Preparatory Ocean Hill Charter School,2,Leadership Preparatory Ocean Hill Charter School,1425,51 CHRISTOPHER AVENUE,BROOKLYN,-73.906018,40.672216,NA,NA,NA,NA,NA,NA
K105,P.S. 105 The Blythebourne,1,P.S. 105 The Blythebourne,1202,1031 59 STREET,BROOKLYN,-74.003635,40.63332,NA,NA,NA,NA,NA,NA
Q007,P.S. 007 Louis F. Simeone,1,P.S. 007 Louis F. Simeone,1202,80-55 Cornish Avenue,Queens,-73.882446,40.739644,NA,NA,NA,NA,NA,NA
K252,Brooklyn East Collegiate Charter School|Kings Collegiate Charter School|Middle School for Art and Philosophy,3,Kings Collegiate Charter School,1416,1084 Lenox Road,Brooklyn,-73.9201,40.6583,NA,NA,NA,NA,NA,"School Response Team, School-based Mental Health Clinic"
K239,Mark Twain I.S. 239 for the Gifted & Talented,1,Mark Twain I.S. 239 for the Gifted & Talented,1200,2401 NEPTUNE AVENUE,BROOKLYN,-73.992447,40.57864,NA,NA,NA,NA,NA,School Mental Health Specialist Program
R007,I.S. 007 Elias Bernstein,1,I.S. 007 Elias Bernstein,1192,1270 Huguenot Avenue,Staten Island,-74.186096,40.522971,NA,NA,NA,NA,NA,School Response Team
K600,Clara Barton High School,1,Clara Barton High School,1191,901 CLASSON AVENUE,BROOKLYN,-73.960689,40.669805,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q237,East-West School of International Studies|I.S. 237,2,I.S. 237,1872,46-21 COLDEN STREET,QUEENS,-73.821402,40.74943,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q180,Scholars' Academy,1,Scholars' Academy,1184,320 Beach 104 Street,Queens,-73.8257,40.5841,NA,NA,NA,NA,NA,School-based Mental Health Clinic
Q049,P.S. 049 Dorothy Bonawit Kole,1,P.S. 049 Dorothy Bonawit Kole,1181,63-60 80 Street,Queens,-73.875493,40.719567,NA,NA,NA,NA,NA,School Mental Health Specialist Program
X071,P.S. 071 Rose E. Scala,1,P.S. 071 Rose E. Scala,1180,3040 ROBERTS AVENUE,BRONX,-73.829562,40.845379,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q102,P.S. 102 Bayview,1,P.S. 102 Bayview,1174,55-24 VAN HORN STREET,QUEENS,-73.878243,40.733033,NA,NA,NA,NA,NA,School-based Mental Health Clinic
K258,Leadership Preparatory Bedford Stuyvesant Charter School|P.S. K140,2,Leadership Preparatory Bedford Stuyvesant Charter School,1491,141 MACON STREET,BROOKLYN,-73.9456,40.68192,NA,NA,NA,NA,NA,H+H School
K281,I.S. 281 Joseph B Cavallaro,1,I.S. 281 Joseph B Cavallaro,1170,8787 24 AVENUE,BROOKLYN,-73.993565,40.594648,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q129,P.S. 129 Patricia Larkin,1,P.S. 129 Patricia Larkin,1166,128-02 7 Avenue,Queens,-73.839505,40.789926,NA,NA,NA,NA,NA,NA
QAAT,Challenge Preparatory Charter School,1,Challenge Preparatory Charter School,1165,710 HARTMAN LANE,QUEENS,-73.764065,40.600137,NA,NA,NA,NA,NA,NA
K205,P.S. 205 Clarion,1,P.S. 205 Clarion,1158,6701 20 AVENUE,BROOKLYN,-73.986792,40.614737,NA,NA,NA,NA,NA,School-based Mental Health Clinic
Q122,P.S. 122 Mamie Fay,1,P.S. 122 Mamie Fay,1150,21-21 DITMARS BOULEVARD,QUEENS,-73.915785,40.780507,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K229,P.S. 229 Dyker,1,P.S. 229 Dyker,1146,1400 BENSON AVENUE,BROOKLYN,-74.013585,40.610331,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K013,Achievement First East New York Charter School|P.S. 013 Roberto Clemente,2,Achievement First East New York Charter School,1483,557 PENNSYLVANIA AVENUE,BROOKLYN,-73.893328,40.664067,NA,NA,NA,NA,NA,School-based Mental Health Clinic
M908,Harlem Children's Zone Promise Academy Charter School,1,Harlem Children's Zone Promise Academy Charter School,1133,245 West 129th Street,NEW YORK,-73.947317,40.811882,HCZ Promise Academy I,111,Institute for Family Health,Harlem Children's Zone Promise Academy Charter School,1,School-based Health Center w/ Mental Health
X151,KIPP Academy Charter School|P.S./M.S. 031 The William Lloyd Garrison,2,KIPP Academy Charter School,1711,250 EAST 156 STREET,BRONX,-73.92114,40.822574,JHS 151,170,Montefiore Medical Center,Kipp Academy Charter School|P.S./M.S. 031 The William Lloyd Garrison,2,School-based Health Center w/ Mental Health
Q095,P.S. 095 Eastwood,1,P.S. 095 Eastwood,1117,179-01 90 AVENUE,QUEENS,-73.783283,40.711295,NA,NA,NA,NA,NA,NA
XAZI,Atmosphere Academy Public Charter School,1,Atmosphere Academy Public Charter School,1117,22 MARBLE HILL AVENUE,BRONX,-73.910426,40.875161,NA,NA,NA,NA,NA,NA
KAGI,Brooklyn Prospect Charter School - CSD 15.2,1,Brooklyn Prospect Charter School - CSD 15.2,1116,3002 FORT HAMILTON PARKWAY,BROOKLYN,-73.97872,40.647893,NA,NA,NA,NA,NA,School-based Mental Health Clinic
X194,P.S./M.S. 194,1,P.S./M.S. 194,1114,2365 WATERBURY AVENUE,BRONX,-73.846594,40.83541,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q024,P.S. 024 Andrew Jackson,1,P.S. 024 Andrew Jackson,1114,45-57 UNION STREET,QUEENS,-73.8181,40.751972,NA,NA,NA,NA,NA,NA
K176,P.S. 176 Ovington,1,P.S. 176 Ovington,1113,1225 69 STREET,BROOKLYN,-74.005205,40.624835,NA,NA,NA,NA,NA,NA
K102,P.S. 102 The Bayview,1,P.S. 102 The Bayview,1107,211 72 STREET,BROOKLYN,-74.028758,40.634318,NA,NA,NA,NA,NA,NA
K104,P.S./I.S. 104 The Fort Hamilton School,1,P.S./I.S. 104 The Fort Hamilton School,1106,9115 5 AVENUE,BROOKLYN,-74.028492,40.618077,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q229,P.S. 229 Emanuel Kaplan,1,P.S. 229 Emanuel Kaplan,1106,67-25 51 ROAD,QUEENS,-73.897108,40.734682,NA,NA,NA,NA,NA,NA
Q108,P.S. 108 Captain Vincent G. Fowler,1,P.S. 108 Captain Vincent G. Fowler,1105,108-10 109 AVENUE,QUEENS,-73.831025,40.679083,NA,NA,NA,NA,NA,NA
Q021,P.S. 021 Edward Hart,1,P.S. 021 Edward Hart,1083,147-36 26 AVENUE,QUEENS,-73.818581,40.774134,NA,NA,NA,NA,NA,NA
K278,J.H.S. 278 Marine Park,1,J.H.S. 278 Marine Park,1078,1925 STUART STREET,BROOKLYN,-73.938721,40.606745,NA,NA,NA,NA,NA,School Mental Health Specialist Program
M834,High School for Environmental Studies|Independence High School,2,High School for Environmental Studies,1349,444 WEST 56 STREET,MANHATTAN,-73.98861,40.767848,NA,NA,NA,NA,NA,School-based Mental Health Clinic
Q650,"High School for Construction Trades, Engineering and Architecture",1,"High School for Construction Trades, Engineering and Architecture",1075,94-06 104TH STREET,QUEENS,-73.841475,40.689177,NA,NA,NA,NA,NA,NA
K055,Achievement First Brownsville Charter School|Brooklyn Collegiate: A College Board School,2,Achievement First Brownsville Charter School,1491,2021 BERGEN STREET,BROOKLYN,-73.9133,40.6741,NA,NA,NA,NA,NA,Community School MH
Q127,P.S. 127 Aerospace Science Magnet School,1,P.S. 127 Aerospace Science Magnet School,1069,98-01 25 AVENUE,QUEENS,-73.870931,40.765507,NA,NA,NA,NA,NA,School Mental Health Specialist Program
MBTN,The Equity Project Charter School,1,The Equity Project Charter School,1065,153 SHERMAN AVENUE,MANHATTAN,-73.922979,40.864292,NA,NA,NA,NA,NA,NA
K318,I.S. 318 Eugenio Maria De Hostos,1,I.S. 318 Eugenio Maria De Hostos,1064,101 WALTON STREET,BROOKLYN,-73.948771,40.703034,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q014,P.S. 014 Fairview,1,P.S. 014 Fairview,1063,107-01 OTIS AVENUE,QUEENS,-73.85457,40.74102,NA,NA,NA,NA,NA,NA
K101,P.S. 101 The Verrazano,1,P.S. 101 The Verrazano,1060,8696 24 Avenue,Brooklyn,-73.991962,40.597379,NA,NA,NA,NA,NA,NA
Q721,P.S. Q016 The Nancy DeBenedittis School,1,P.S. Q016 The Nancy DeBenedittis School,1060,41-15 104 STREET,QUEENS,-73.860547,40.748996,NA,NA,NA,NA,NA,NA
Q079,P.S. 079 Francis Lewis,1,P.S. 079 Francis Lewis,1060,147-27 15 DRIVE,QUEENS,-73.817338,40.786201,NA,NA,NA,NA,NA,NA
QAFE,Riverton Street Charter School,1,Riverton Street Charter School,1060,118-34 Riverton Street,Queens,-73.76356,40.689326,NA,NA,NA,NA,NA,NA
Q585,Maspeth High School,1,Maspeth High School,1057,54-40 74TH STREET,QUEENS,-73.887909,40.729104,NA,NA,NA,NA,NA,School-based Mental Health Clinic
